Player,Team,Nation,Pos,Age,MP,Min,Gls,Ast,PK,CrdY,CrdR,Gls_Y
Bukayo Saka,Arsenal,eng ENG,FW,19.0,38,2978.0,11.0,7.0,2.0,6.0,0.0,1
Gabriel Dos Santos,Arsenal,br BRA,DF,23.0,35,3063.0,5.0,0.0,0.0,8.0,1.0,1
Aaron Ramsdale,Arsenal,eng ENG,GK,23.0,34,3060.0,0.0,0.0,0.0,1.0,0.0,0
Ben White,Arsenal,eng ENG,DF,23.0,32,2880.0,0.0,0.0,0.0,3.0,0.0,0
Martin Ødegaard,Arsenal,no NOR,MF,22.0,36,2785.0,7.0,4.0,0.0,4.0,0.0,1
Granit Xhaka,Arsenal,ch SUI,MF,28.0,27,2327.0,1.0,2.0,0.0,10.0,1.0,1
Thomas Partey,Arsenal,gh GHA,MF,28.0,24,2028.0,2.0,1.0,0.0,6.0,0.0,1
Kieran Tierney,Arsenal,sct SCO,DF,24.0,22,1915.0,1.0,3.0,0.0,0.0,0.0,1
Emile Smith Rowe,Arsenal,eng ENG,MF,21.0,33,1921.0,10.0,2.0,0.0,1.0,0.0,1
Martinelli,Arsenal,br BRA,FW,20.0,29,1860.0,6.0,6.0,1.0,3.0,1.0,1
Alexandre Lacazette,Arsenal,fr FRA,FW,30.0,30,1782.0,4.0,7.0,2.0,0.0,0.0,1
Takehiro Tomiyasu,Arsenal,jp JPN,DF,22.0,21,1679.0,0.0,1.0,0.0,2.0,0.0,0
Cédric Soares,Arsenal,pt POR,DF,29.0,21,1486.0,1.0,1.0,0.0,3.0,0.0,1
Nuno Tavares,Arsenal,pt POR,DF,21.0,22,1176.0,1.0,1.0,0.0,2.0,0.0,1
Albert Sambi Lokonga,Arsenal,be BEL,MF,21.0,19,1134.0,0.0,0.0,0.0,5.0,0.0,0
Pierre-Emerick Aubameyang,Arsenal,ga GAB,FW,32.0,14,1037.0,4.0,1.0,0.0,3.0,0.0,1
Rob Holding,Arsenal,eng ENG,DF,25.0,15,845.0,1.0,0.0,0.0,4.0,1.0,1
Eddie Nketiah,Arsenal,eng ENG,FW,22.0,21,835.0,5.0,1.0,0.0,3.0,0.0,1
Mohamed Elneny,Arsenal,eg EGY,MF,29.0,14,806.0,0.0,2.0,0.0,1.0,0.0,0
Nicolas Pépé,Arsenal,ci CIV,FW,26.0,20,696.0,1.0,2.0,0.0,0.0,0.0,1
Bernd Leno,Arsenal,de GER,GK,29.0,4,360.0,0.0,0.0,0.0,0.0,0.0,0
Ainsley Maitland-Niles,Arsenal,eng ENG,MF,23.0,8,268.0,0.0,0.0,0.0,0.0,0.0,0
Pablo Marí,Arsenal,es ESP,DF,27.0,2,180.0,0.0,0.0,0.0,1.0,0.0,0
Calum Chambers,Arsenal,eng ENG,DF,26.0,2,170.0,0.0,0.0,0.0,0.0,0.0,0
Sead Kolainac,Arsenal,ba BIH,DF,28.0,2,91.0,0.0,0.0,0.0,1.0,0.0,0
Folarin Balogun,Arsenal,eng ENG,FW,20.0,2,70.0,0.0,0.0,0.0,0.0,0.0,0
Reiss Nelson,Arsenal,eng ENG,FW,21.0,1,20.0,0.0,0.0,0.0,0.0,0.0,0
Matty Cash,Aston Villa,pl POL,DF,23.0,38,3377.0,4.0,3.0,0.0,8.0,0.0,1
Emiliano Martínez,Aston Villa,ar ARG,GK,28.0,36,3240.0,0.0,0.0,0.0,4.0,0.0,0
Tyrone Mings,Aston Villa,eng ENG,DF,28.0,36,3189.0,1.0,3.0,0.0,11.0,0.0,1
John McGinn,Aston Villa,sct SCO,MF,26.0,35,3090.0,3.0,4.0,0.0,8.0,0.0,1
Ollie Watkins,Aston Villa,eng ENG,FW,25.0,35,2952.0,11.0,2.0,1.0,7.0,0.0,1
Douglas Luiz,Aston Villa,br BRA,MF,23.0,34,2715.0,2.0,3.0,0.0,7.0,0.0,1
Ezri Konsa,Aston Villa,eng ENG,DF,23.0,29,2477.0,2.0,0.0,0.0,6.0,2.0,1
Jacob Ramsey,Aston Villa,eng ENG,MF,20.0,34,2467.0,6.0,1.0,0.0,6.0,0.0,1
Emi Buendía,Aston Villa,ar ARG,FW,24.0,35,1899.0,4.0,6.0,0.0,1.0,0.0,1
Danny Ings,Aston Villa,eng ENG,FW,29.0,30,1898.0,7.0,6.0,1.0,4.0,0.0,1
Matt Targett,Aston Villa,eng ENG,DF,25.0,17,1431.0,1.0,1.0,0.0,2.0,0.0,1
Philippe Coutinho,Aston Villa,br BRA,MF,29.0,19,1329.0,5.0,3.0,0.0,0.0,0.0,1
Lucas Digne,Aston Villa,fr FRA,DF,28.0,16,1269.0,0.0,4.0,0.0,2.0,0.0,0
Ashley Young,Aston Villa,eng ENG,DF,36.0,24,1250.0,0.0,2.0,0.0,2.0,0.0,0
Marvelous Nakamba,Aston Villa,zw ZIM,MF,27.0,16,904.0,0.0,0.0,0.0,5.0,0.0,0
Calum Chambers,Aston Villa,eng ENG,DF,26.0,11,831.0,1.0,0.0,0.0,1.0,0.0,1
Leon Bailey,Aston Villa,jm JAM,FW,23.0,18,761.0,1.0,2.0,0.0,3.0,0.0,1
Axel Tuanzebe,Aston Villa,eng ENG,DF,23.0,9,508.0,0.0,0.0,0.0,1.0,0.0,0
Kortney Hause,Aston Villa,eng ENG,DF,26.0,7,397.0,1.0,0.0,0.0,0.0,0.0,1
Anwar El Ghazi,Aston Villa,nl NED,FW,26.0,9,386.0,1.0,1.0,1.0,2.0,0.0,1
Morgan Sanson,Aston Villa,fr FRA,MF,26.0,10,356.0,0.0,0.0,0.0,0.0,0.0,0
Carney Chukwuemeka,Aston Villa,eng ENG,MF,17.0,12,301.0,0.0,1.0,0.0,0.0,0.0,0
Bertrand Traoré,Aston Villa,bf BFA,MF,25.0,9,220.0,0.0,0.0,0.0,0.0,0.0,0
Tim Iroegbunam,Aston Villa,eng ENG,MF,18.0,3,92.0,0.0,0.0,0.0,1.0,0.0,0
Robin Olsen,Aston Villa,se SWE,GK,31.0,1,90.0,0.0,0.0,0.0,0.0,0.0,0
Jed Steer,Aston Villa,eng ENG,GK,28.0,1,90.0,0.0,0.0,0.0,0.0,0.0,0
Cameron Archer,Aston Villa,eng ENG,MF,19.0,3,27.0,0.0,0.0,0.0,0.0,0.0,0
Keinan Davis,Aston Villa,eng ENG,FW,23.0,1,12.0,0.0,0.0,0.0,0.0,0.0,0
Trézéguet,Aston Villa,eg EGY,FW,26.0,1,11.0,0.0,0.0,0.0,0.0,0.0,0
Jaden Philogene Bidace,Aston Villa,eng ENG,FW,19.0,1,5.0,0.0,0.0,0.0,0.0,0.0,0
Wesley Moraes,Aston Villa,br BRA,FW,24.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
Pontus Jansson,Brentford,se SWE,DF,30.0,37,3321.0,3.0,1.0,0.0,7.0,0.0,1
Christian Nørgaard,Brentford,dk DEN,MF,27.0,35,3054.0,3.0,4.0,0.0,8.0,0.0,1
Bryan Mbeumo,Brentford,fr FRA,FW,21.0,35,2905.0,4.0,7.0,1.0,4.0,0.0,1
Rico Henry,Brentford,eng ENG,DF,24.0,34,2776.0,3.0,0.0,0.0,2.0,0.0,1
Ivan Toney,Brentford,eng ENG,FW,25.0,33,2909.0,12.0,5.0,5.0,8.0,0.0,1
Ethan Pinnock,Brentford,jm JAM,DF,28.0,32,2694.0,1.0,1.0,0.0,1.0,0.0,1
Vitaly Janelt,Brentford,de GER,MF,23.0,31,2298.0,4.0,0.0,0.0,3.0,0.0,1
Sergi Canós,Brentford,es ESP,DF,24.0,31,2083.0,3.0,2.0,0.0,8.0,1.0,1
David Raya,Brentford,es ESP,GK,25.0,24,2160.0,0.0,0.0,0.0,1.0,0.0,0
Kristoffer Ajer,Brentford,no NOR,DF,23.0,24,1995.0,1.0,3.0,0.0,5.0,0.0,1
Mathias Jensen,Brentford,dk DEN,MF,25.0,31,1601.0,0.0,1.0,0.0,0.0,0.0,0
Yoane Wissa,Brentford,cd COD,FW,24.0,30,1284.0,7.0,1.0,0.0,0.0,0.0,1
Mads Roerslev,Brentford,dk DEN,DF,22.0,21,1240.0,1.0,1.0,0.0,1.0,0.0,1
Álvaro Fernández,Brentford,es ESP,GK,23.0,12,1080.0,0.0,0.0,0.0,0.0,0.0,0
Frank Onyeka,Brentford,ng NGA,MF,23.0,20,1045.0,0.0,0.0,0.0,4.0,0.0,0
Christian Eriksen,Brentford,dk DEN,MF,29.0,11,939.0,1.0,4.0,0.0,1.0,0.0,1
Shandon Baptiste,Brentford,gd GRN,MF,23.0,22,910.0,1.0,1.0,0.0,2.0,1.0,1
